"Site_id","Round","links_sps","num_compartments","NODF","link_dens","weigh_connectance","Shannon","int_evenness","Alatalo_int_evenness","H2","species.poll","species.pl","niche.overlap.poll","niche.overlap.plant","functional.comp.poll","functional.comp.plant","modularity","z","links.corr","nodf.corr","linkdens.corr","conn.corr","ala.corr","h2.corr","V26","V27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aznalcazar","1",1.125,1,26.025641025641,3.91066679479448,0.244416674674655,2.83412587655526,0.707234898011319,0.938483602514807,0.112854292947325,11,5,0.442279369388262,0.570398650618193,13.2126671867952,11.9389416130573,"0.374291","-0.47516323955734",-14.5835055601401,23.0244048555147,-5.43048043625584,-9.09673055637567,-28.3385648772204,-30.4654558557643,-12.7318409674173,-2.77336749204108
"Aznalcazar","2",0.928571428571429,1,5.43478260869565,2.46432701016306,0.17602335786879,2.52321095295289,0.662840732461452,0.945375642815022,0.333333333333333,9,5,0.214877136752137,0.247140802795642,11.0262679467713,11.1892922708365,"0.542222","0.894661565007012",-14.8854010553063,3.63020747823897,-8.42699680920793,-10.7153004615022,-27.745765481502,-29.6061357019934,-32.014142404931,-1.62767997555278
"Aznalcazar","3",0.888888888888889,2,10.5263157894737,2.75652000832937,0.153140000462743,2.73633905110507,0.629940521124299,0.951275129662364,0.256251898085072,11,7,0.173888177550149,0.267836539285172,12.8447389998368,12.9507994651109,"0.512346","-0.936456884875933",-15.6878072190752,8.21917333062891,-6.03467253906239,-8.63805254692901,-26.5541666722288,-28.6605652022096,-18.8120791830834,-1.93833073975133
"Aznalcazar","4",0.7,3,0,2.00509608946993,0.200509608946993,1.83437197028162,0.577199779552126,0.865877548438427,0.703918089034135,6,4,0.333333333333333,0.0364583333333333,9.34908895114639,10.6561987159288,"0.44","1.49203769073983",-11.7172497847798,-1.07647058823529,-5.86864754836373,-7.67323402888667,-17.5737952354294,-18.8309674261589,-22.34329706186,-0.806384033177866
"Aznalcazar","5",1.04347826086957,2,10.9338061465721,4.04991013893322,0.176083049518835,3.13416245858665,0.664228718513269,0.945760342359977,0.228443826320529,16,7,0.327749384271123,0.275508081326976,14.3934556225489,15.8640477657389,"0.498724","-0.00193824244448472",-17.0927960104477,7.56338451654885,-4.90405911770977,-8.77788620712415,-31.1980258460568,-33.6679595861302,-16.2832741542324,-2.79796653878922
"Aznalcazar","6",0.882352941176471,2,0,3.64075965663294,0.214162332743114,2.67011988980682,0.714380927823457,0.949426358688014,0.666666666666667,14,3,0.388278388278388,0.0392156862745098,6.62421569410354,10.7688569366823,"0.512111",NA,-20.6520140480174,NA,-10.6536048200965,-14.0802021439863,-43.0780381417328,-45.0337771037162,-54.9733541426164,-0.998221021978232
"Aznalcazar","7",0.882352941176471,4,1.78117048346056,5.16711001096227,0.151973823851832,3.3081015535348,0.645613741008395,0.87884760691123,0.807921263962604,28,6,0.324342602538091,0.0114496646185581,20.7453696848327,22.6645563032732,"0.31098","-0.174498859866968",-28.6152542857969,-0.698476493528667,-13.5100914048984,-18.5252275920089,-73.1175744495294,-75.7800622620557,-36.3887872314315,-2.70442772859592
"Villamanriquesur","2",0.8,1,0,2,0.4,1.38629436111989,0.773705614469083,1,0,3,2,0.777777777777778,0.5,2,2.82842712474619,"0.25",NA,-6.10745239221557,NA,-2.91442497704729,-4.51442497704729,-5.52115803109568,-6.13374677774649,-20.487568862988,NA
"Villamanriquesur","3",0.894736842105263,2,8.94308943089431,3.69228991517595,0.194331048167155,2.78778811938601,0.720135201331796,0.943559866349885,0.5,16,3,0.35,0.114558472553699,8.73903104143789,11.4876240791888,"0.52","0.283279356022944",-23.6959590056108,6.67353037077448,-11.039637079234,-14.5375959462428,-43.337852574243,-45.4055054922973,-23.472766989419,-0.894015878390951
