"Site_id","species.poll","species.pl","functional.comp.poll","functional.comp.plant","nodf.song","nodf.song2"
"Aznalcazar",37,12,45.6842357560456,40.6076464973885,2.09959917606345,2.09959917606345
"Villamanriquesur",25,9,23.0372484503193,24.8624213963218,-0.762585156952498,-0.762585156952498
"Villamanriqueeste",29,6,17.2281047538352,19.1167185342884,2.21526342005951,2.18203079513508
"PinaresdeHinojos",16,8,14.0739585092462,16.9100396771506,-0.931586383158715,-0.931586383158715
"Esparragal",18,8,18.4014751534293,19.9368657962657,-0.560772566440659,-0.560772566440659
"LaCunya",18,11,21.511749694755,21.9155300257141,-1.06892893268122,-1.06892893268122
"LaRocina",35,11,31.7668813456224,34.5212233044866,-0.728798990786217,-0.728798990786217
"Lasmulas",23,9,31.8410437205863,28.5737735241174,-0.528635318469687,-0.528635318469687
"Elpozo",17,5,21.4262681743541,18.2124669546173,1.82730716416902,-0.659825741893514
"Pinodelcuervo",24,12,25.8470394458012,27.000542549493,-0.756514153354918,-0.756514153354918
"Bonares",31,9,26.6916487992226,27.9885069176933,-0.315346426849193,-0.315346426849193
"Niebla",40,19,42.5685993617372,42.5465081706162,-0.407103854917321,-0.407103854917321
"ConventodelaLuz",14,9,26.8824194917598,23.5611856883225,1.56804941181335,1.60190804045529
"Urbanizaciones",20,9,24.6052181004996,24.1934550838265,-0.768359975986164,-0.768359975986164
"CotitodeSantaTeresa",24,7,18.0884996787782,20.5520404110519,-0.538425845059666,-0.538425845059666
"Elpinar",12,6,14.3283794281073,13.0341433092485,-0.940406591831779,-0.940406591831779
