"Site_id","species","norm_degree","nested.rank","strength","weigh_closeness","d","nested_contribution"
"Aznalcazar","Andrena flavipes",0.0833333333333333,0.388888888888889,0.142857142857143,0.0148932992660025,0.387703842372529,-0.213985989587828
"Aznalcazar","Andrena nigroaenaea",0.0833333333333333,0.416666666666667,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.185743018010553
"Aznalcazar","Andrena nitidiuscula",0.0833333333333333,0.444444444444444,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.0911774550965049
"Aznalcazar","Andrena sp",0.0833333333333333,0.472222222222222,0.0416666666666667,0.0145282829297699,0,0.221351743905021
"Aznalcazar","Andrena tenuistriata",0.0833333333333333,0.5,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.255065353083425
"Aznalcazar","Anthophora dispar",0.0833333333333333,0.277777777777778,0.0833333333333333,0.0234018449587312,0.212833534622969,0.154484544934534
"Aznalcazar","Anthophora sp",0.0833333333333333,0.527777777777778,0.0416666666666667,0.0145282829297699,0,0.0111059845149355
"Aznalcazar","Apis mellifera",0.75,0,4.43162525879917,0.0494994241694136,0.208782938175517,2.07242052311009
"Aznalcazar","Bombus terrestris",0.166666666666667,0.111111111111111,0.408333333333333,0.0385415000799616,0.295106681047059,0.430593108465225
"Aznalcazar","Calliphora sp",0.0833333333333333,0.555555555555556,0.2,0.0141549165108211,0.493577516823278,-0.563073976262187
"Aznalcazar","Cerceris sabulosa",0.0833333333333333,0.583333333333333,0.0416666666666667,0.0145282829297699,0,0.0211231475444914
"Aznalcazar","Dasypoda argentata",0.0833333333333333,0.611111111111111,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.147257062783098
"Aznalcazar","Dasypoda cingulata",0.0833333333333333,0.638888888888889,0.0434782608695652,0.0154802833616777,0.013391722321499,0.179043668395841
"Aznalcazar","Dasypoda crassicornis",0.25,0.0555555555555556,0.68452380952381,0.0229339453885709,0.295703056739173,0.611892893912729
"Aznalcazar","Empis morpho1",0.0833333333333333,0.666666666666667,0.2,0.0141549165108211,0.493577516823278,-0.599305095799539
"Aznalcazar","Eristalis arbustorum",0.0833333333333333,0.694444444444444,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.0566446082055482
"Aznalcazar","Eucera alternans",0.0833333333333333,0.722222222222222,0.0416666666666667,0.0145282829297699,0,0.0839120706868876
"Aznalcazar","Eucera codinai",0.0833333333333333,0.75,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.13080975919497
"Aznalcazar","Eucera collaris",0.0833333333333333,0.777777777777778,0.25,0.0141902932057768,0.563791416028937,-0.515102104315346
"Aznalcazar","Eucera elongatula",0.166666666666667,0.138888888888889,0.0851449275362319,0.021753146276047,0,1.75731866681115
"Aznalcazar","Eucera hispaliensis",0.0833333333333333,0.805555555555556,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.219091257085811
"Aznalcazar","Eucera sp",0.0833333333333333,0.305555555555556,0.0833333333333333,0.0234018449587312,0.212833534622969,0.108481232062624
"Aznalcazar","Flavipanurgus venustus",0.0833333333333333,0.25,0.173913043478261,0.0392943935029543,0.303885394512247,0.136800853175355
"Aznalcazar","Heliotaurus ruficollis",0.0833333333333333,0.833333333333333,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.165192494386194
"Aznalcazar","Hoplitis adunca",0.166666666666667,0.166666666666667,0.376811594202899,0.015934737160273,0.329361798855086,0.855940522682892
"Aznalcazar","Lasioglossum morpho1",0.0833333333333333,0.861111111111111,0.333333333333333,0.00915247800493702,0.654312875956595,-0.587495694905036
"Aznalcazar","Macroglossum stellatarum",0.166666666666667,0.194444444444444,0.375,0.0149735942839391,0.322620800907998,0.425187996570988
"Aznalcazar","Merodon sp",0.25,0.0833333333333333,0.592857142857143,0.0283293550226009,0.401698960665249,-0.443831049238834
"Aznalcazar","Osmia leaiana",0.166666666666667,0.222222222222222,0.543478260869565,0.0155418456747851,0.393583232688515,0.664316336013201
"Aznalcazar","Panurgus calcaratus",0.0833333333333333,0.333333333333333,0.0869565217391304,0.0259748924769813,0.226315530517145,-0.121783192745944
"Aznalcazar","Pseudoanthidium lituratum",0.0833333333333333,0.888888888888889,0.0434782608695652,0.0154802833616777,0.013391722321499,-0.173279498781621
"Aznalcazar","Rhyncomyia cuprea",0.0833333333333333,0.916666666666667,0.0416666666666667,0.0145282829297699,0,0.0945285402306861
"Aznalcazar","Syrphidae NA",0.0833333333333333,0.944444444444444,0.142857142857143,0.0148932992660025,0.387703842372529,-0.280571058183872
"Aznalcazar","Tabanus morpho1",0.0833333333333333,0.972222222222222,0.333333333333333,NA,0.654312875956595,-0.77510531410283
"Aznalcazar","Tabanus morpho2",0.0833333333333333,0.361111111111111,0.666666666666667,NA,0.87155713233314,-0.791574835561038
"Aznalcazar","Volucella elegans",0.0833333333333333,1,0.142857142857143,0.0148932992660025,0.387703842372529,-0.288668102642647
"Aznalcazar","Xylocopa cantabrita",0.416666666666667,0.0277777777777778,1.01966873706004,0.0360502823440163,0.0953922458052519,1.69731466128927
"Villamanriquesur","Andrena flavipes",0.111111111111111,0.291666666666667,0.25,0.0273653636112678,0.488083950380369,-0.427888487540184
"Villamanriquesur","Andrena nigroaenaea",0.111111111111111,0.333333333333333,0.25,0.0273653636112678,0.488083950380369,-0.489796460105725
"Villamanriquesur","Apis mellifera",0.666666666666667,0,2.61666666666667,0.0640791433630308,0.234153917193011,1.78849277684651
"Villamanriquesur","Bibio sp",0.111111111111111,0.375,0.0666666666666667,0.0281878198946666,0,-0.0298724455524748
