"Site_id","Round","species","norm_degree","strength","nestedra","weigh_betweeness","weigh_closeness","d","c","z"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aznalcazar","5","Dasypoda crassicornis",0.142857142857143,0.111111111111111,0.6,0,0.0478632478632479,0,"0","0"
"Aznalcazar","5","Merodon sp",0.142857142857143,0.333333333333333,0.666666666666667,0,0.0385874246339363,0.5,"0","-0.755928946018455"
"Aznalcazar","5","Nomada merceti",0.142857142857143,0.111111111111111,0.733333333333333,0,0.0474074074074074,0,"0","0"
"Aznalcazar","5","Panurgus cephalotes",0.142857142857143,1,0.2,0,NA,1,"0",NA
"Aznalcazar","5","Platynochaetus setosus",0.142857142857143,0.111111111111111,0.8,0,0.0478632478632479,0,"0","0"
"Aznalcazar","5","Rhodanthidium septendentatum",0.142857142857143,0.111111111111111,0.866666666666667,0,0.0474074074074074,0,"0","0"
"Aznalcazar","5","Rhyncomyia cuprea",0.142857142857143,0.111111111111111,0.933333333333333,0,0.0478632478632479,0,"0","0"
"Aznalcazar","5","Systropha planidens",0.142857142857143,0.111111111111111,1,0,0.0474074074074074,0,"0","0"
"Aznalcazar","5","Xylocopa cantabrita",0.571428571428571,1.33333333333333,0.0666666666666667,0.583690987124464,0.103703703703704,0.133756342479746,"0.402777777777778","1.13389341902768"
"Aznalcazar","6","Anthophora aestivalis",0.333333333333333,0.1,0.230769230769231,0,0.0562962962962963,0,"0","-0.58554004376912"
"Aznalcazar","6","Apis mellifera",0.333333333333333,0.2,0.0769230769230769,0,0.0888888888888889,0.177183820135558,"0","1.4638501094228"
"Aznalcazar","6","Dasypoda argentata",0.333333333333333,0.2,0.153846153846154,0,0.0888888888888889,0.177183820135558,"0","1.4638501094228"
"Aznalcazar","6","Dasypoda cingulata",0.333333333333333,0.1,0.307692307692308,0,0.0562962962962963,0,"0","-0.58554004376912"
"Aznalcazar","6","Dasypoda crassicornis",0.333333333333333,0.2,0.384615384615385,0,0.0469135802469136,0.301029995663981,"0","0"
"Aznalcazar","6","Dasypoda sp",0.333333333333333,0.1,0.461538461538462,0,0.0562962962962963,0,"0","-0.58554004376912"
"Aznalcazar","6","Eucera hispaliensis",0.333333333333333,0.1,0.538461538461538,0,0.0562962962962963,0,"0","-0.58554004376912"
"Aznalcazar","6","Hoplitis adunca",0.333333333333333,0.5,0.615384615384615,0,NA,0.698970004336019,"0","0"
"Aznalcazar","6","Macroglossum stellatarum",0.333333333333333,0.5,0.692307692307692,0,NA,0.698970004336019,"0","0"
"Aznalcazar","6","Merodon sp",0.333333333333333,0.2,0.769230769230769,0,0.0469135802469136,0.301029995663981,"0","0"
"Aznalcazar","6","Myathropa florea",0.333333333333333,0.1,0.846153846153846,0,0.0562962962962963,0,"0","-0.58554004376912"
"Aznalcazar","6","Syrphidae NA",0.333333333333333,0.2,0.923076923076923,0,0.0469135802469136,0.301029995663981,"0","0"
"Aznalcazar","6","Volucella elegans",0.333333333333333,0.2,1,0,0.0469135802469136,0.301029995663981,"0","0"
"Aznalcazar","6","Xylocopa cantabrita",0.666666666666667,0.3,0,1,0.0767676767676768,0,"0.444444444444444","0"
"Aznalcazar","7","Amegilla quadrifasciata",0.166666666666667,0.0666666666666667,0.296296296296296,0,0.0203461888855147,0.0441770977877769,"0","-0.476928170149469"
"Aznalcazar","7","Andrena nigroaenaea",0.166666666666667,0.0588235294117647,0.333333333333333,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Andrena nitidiuscula",0.166666666666667,0.0588235294117647,0.37037037037037,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Andrena tenuistriata",0.166666666666667,0.0588235294117647,0.407407407407407,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Apis mellifera",0.333333333333333,0.192156862745098,0,0.855263157894737,0.0396215257244234,0.0179106859975122,"0","2.06420473642817"
"Aznalcazar","7","Asilidae NA",0.166666666666667,0.133333333333333,0.111111111111111,0,0.0295219211280018,0.272764053136311,"0","0.834624297761571"
"Aznalcazar","7","Cerceris morpho1",0.166666666666667,1,0.444444444444444,0,NA,1,"0",NA
"Aznalcazar","7","Dasypoda crassicornis",0.166666666666667,0.5,0.481481481481481,0,0.0150561797752809,0.755349457881774,"0","0"
"Aznalcazar","7","Dasypogon morpho1",0.166666666666667,0.0666666666666667,0.518518518518518,0,0.0203461888855147,0.0441770977877769,"0","-0.476928170149469"
"Aznalcazar","7","Dasypogon sp",0.166666666666667,0.0666666666666667,0.555555555555556,0,0.0203461888855147,0.0441770977877769,"0","-0.476928170149469"
"Aznalcazar","7","Eristalinus megacephalus",0.166666666666667,0.133333333333333,0.148148148148148,0,0.0295219211280018,0.272764053136311,"0","0.834624297761571"
"Aznalcazar","7","Eristalinus taeniops",0.166666666666667,0.0666666666666667,0.592592592592593,0,0.0203461888855147,0.0441770977877769,"0","-0.476928170149469"
"Aznalcazar","7","Eristalis arbustorum",0.166666666666667,0.0588235294117647,0.62962962962963,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Eucera codinai",0.166666666666667,0.0588235294117647,0.666666666666667,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Eucera collaris",0.166666666666667,0.0588235294117647,0.703703703703704,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Flavipanurgus venustus",0.166666666666667,0.235294117647059,0.0740740740740741,0,0.0640688501075783,0.303523603258134,"0","3.12984111660589"
"Aznalcazar","7","Heliotaurus ruficollis",0.166666666666667,0.0588235294117647,0.740740740740741,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Hoplitis adunca",0.166666666666667,0.0588235294117647,0.777777777777778,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Lasioglossum morpho1",0.166666666666667,1,0.814814814814815,0,NA,1,"0",NA
"Aznalcazar","7","Merodon morpho1",0.166666666666667,0.0666666666666667,0.851851851851852,0,0.0203461888855147,0.0441770977877769,"0","-0.476928170149469"
"Aznalcazar","7","Osmia leaiana",0.333333333333333,0.558823529411765,0.037037037037037,0.144736842105263,0.0268860353130016,0.363617973431845,"0.188365650969529","0"
"Aznalcazar","7","Panurgus calcaratus",0.166666666666667,0.117647058823529,0.185185185185185,0,0.0430176565008026,0.227589106327161,"0","0.670680239272691"
"Aznalcazar","7","Pseudoanthidium lituratum",0.166666666666667,0.0588235294117647,0.888888888888889,0,0.025958930647036,0,"0","-0.55890019939391"
"Aznalcazar","7","Psilothrix viridicoerulea",0.166666666666667,0.0666666666666667,0.925925925925926,0,0.0203461888855147,0.0441770977877769,"0","-0.476928170149469"
"Aznalcazar","7","Stomorhina lunata",0.166666666666667,0.0666666666666667,0.962962962962963,0,0.0203461888855147,0.0441770977877769,"0","-0.476928170149469"
"Aznalcazar","7","Syritta pipiens",0.166666666666667,0.133333333333333,0.222222222222222,0,0.0295219211280018,0.272764053136311,"0","0.834624297761571"
"Aznalcazar","7","Tabanus morpho1",0.166666666666667,0.333333333333333,1,0,NA,0.61223806496151,"0","-0.707106781186548"
"Aznalcazar","7","Tabanus morpho2",0.166666666666667,0.666666666666667,0.259259259259259,0,NA,0.853656082298258,"0","0.707106781186547"
"Villamanriquesur","2","Apis mellifera",1,1.33333333333333,0,0,0.5,0,"0.375",NA
"Villamanriquesur","2","Oxythyrea funesta",0.5,0.333333333333333,0.5,0,0.5,0,"0","0"
"Villamanriquesur","2","Tropinota squalida",0.5,0.333333333333333,1,0,0.5,0,"0","0"
"Villamanriquesur","3","Andrena flavipes",0.333333333333333,0.333333333333333,0.133333333333333,0,NA,0.5,"0","0"
"Villamanriquesur","3","Apis mellifera",0.666666666666667,0.472222222222222,0,1,0.13915857605178,0.0655433938230995,"0.498269896193772","1.29099444873581"
"Villamanriquesur","3","Bombus terrestris",0.333333333333333,0.25,0.0666666666666667,0,0.0878896269800715,0.351693902427511,"0","1.29099444873581"
"Villamanriquesur","3","Calliphora sp",0.333333333333333,0.111111111111111,0.2,0,0.0575828590559089,0,"0","0"
"Villamanriquesur","3","Callophrys rubi",0.333333333333333,0.125,0.266666666666667,0,0.0538678358910116,0.0536053696428139,"0","-0.645497224367903"
"Villamanriquesur","3","Dasypoda crassicornis",0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.5,"0","0"
"Villamanriquesur","3","Empis sp",0.333333333333333,0.111111111111111,0.4,0,0.0575828590559089,0,"0","0"
